Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::土木水利（海洋）,L2::土木水利（海洋学院）,Undirected,培养项目-二级学科,39,overall,土木水利（海洋）,,土木水利（海洋学院）
P::地球信息工程,L2::资源与环境（地科学院）,Undirected,培养项目-二级学科,44,overall,地球信息工程,,资源与环境（地科学院）
P::垂直领域大模型平台,L2::计算机技术,Undirected,培养项目-二级学科,42,overall,垂直领域大模型平台,,计算机技术
P::城市学院联培,L2::工业设计工程,Undirected,培养项目-二级学科,2,overall,城市学院联培,,工业设计工程
P::城市学院联培,L2::计算机技术,Undirected,培养项目-二级学科,9,overall,城市学院联培,,计算机技术
P::城市工程系统可持续,L2::土木工程,Undirected,培养项目-二级学科,21,overall,城市工程系统可持续,,土木工程
P::城市工程系统可持续,L2::土木水利（工程师学院）,Undirected,培养项目-二级学科,8,overall,城市工程系统可持续,,土木水利（工程师学院）
P::城市工程系统可持续,L2::机械工程,Undirected,培养项目-二级学科,2,overall,城市工程系统可持续,,机械工程
P::城市工程系统可持续,L2::计算机技术,Undirected,培养项目-二级学科,2,overall,城市工程系统可持续,,计算机技术
P::复杂组分固体燃料能源化利用,L2::能源动力（能源学院）,Undirected,培养项目-二级学科,12,overall,复杂组分固体燃料能源化利用,,能源动力（能源学院）
P::多能融合的新型能源系统,L2::能源动力（能源学院）,Undirected,培养项目-二级学科,59,overall,多能融合的新型能源系统,,能源动力（能源学院）
P::大健康高分子材料,L2::材料工程,Undirected,培养项目-二级学科,10,overall,大健康高分子材料,,材料工程
P::大尺寸半导体单晶材料与芯片,L2::材料与化工（材料学院）,Undirected,培养项目-二级学科,66,overall,大尺寸半导体单晶材料与芯片,,材料与化工（材料学院）
P::大尺寸半导体单晶材料与芯片,L2::电气工程,Undirected,培养项目-二级学科,12,overall,大尺寸半导体单晶材料与芯片,,电气工程
P::天姥实验室专项,L2::药学,Undirected,培养项目-二级学科,17,overall,天姥实验室专项,,药学
P::宁波理工联培,L2::工业设计工程,Undirected,培养项目-二级学科,2,overall,宁波理工联培,,工业设计工程
