Id,Label,timeset,院系,课程性质,课程体系,是否允许外院选课,上课语言,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
2124032,品牌设计战略,,计算机科学与技术学院,专业选修课,,是,中文,3,44,14,0.139937,0.14457,0,93
2124033,博览设计,,计算机科学与技术学院,专业选修课,,是,中文,3,0,0,0,0,0,60
2124038,模糊计算及应用,,计算机科学与技术学院,专业选修课,,是,中文,3,15,14,0.135147,0.138766,0,4
2124057,高端计算及其应用,,计算机科学与技术学院,专业选修课,,是,中文,28,2323,11,0.241639,0.267591,0.001601,4
2124061,网络多媒体搜索引擎,,计算机科学与技术学院,专业选修课,,是,中文,12,2859,11,0.226109,0.24178,0,4
2124062,三维CAD建模,,计算机科学与技术学院,专业选修课,通用课程,是,中文,19,1949,11,0.235114,0.258063,0.000012,4
2124063,生物智能与算法,,计算机科学与技术学院,专业选修课,通用课程,是,中文,29,6051,11,0.253889,0.284116,0.000146,4
2124064,机器学习导引,,计算机科学与技术学院,专业选修课,,是,中文,13,2389,11,0.226109,0.24178,0,4
2124067,语音、语言处理与理解,,计算机科学与技术学院,专业选修课,通用课程,是,中文,20,1899,11,0.246951,0.274775,0.00007,4
2124068,图像处理与建模,,计算机科学与技术学院,专业选修课,学术学位,是,中文,29,4194,11,0.236839,0.261491,0.000053,4
2124070,并行计算机结构和程序设计,,计算机科学与技术学院,专业选修课,,是,中文,5,152,12,0.198437,0.212742,0,4
2124073,虚拟现实,,计算机科学与技术学院,专业选修课,通用课程,是,中文,28,3482,11,0.235824,0.259868,0.000048,4
2124074,人机交互与虚拟人,,计算机科学与技术学院,专业选修课,,是,中文,19,1326,10,0.26594,0.291907,0.000529,4
2124079,计算复杂性理论,,计算机科学与技术学院,专业选修课,通用课程,是,双语,5,193,12,0.206585,0.222548,0,4
2124080,GPU计算与工程应用,,计算机科学与技术学院,专业选修课,通用课程,是,双语,19,1821,11,0.253185,0.281844,0.00007,4
2124081,游戏的设计与开发,,计算机科学与技术学院,专业选修课,通用课程,是,中文,12,783,11,0.226109,0.24178,0,4
2124082,云计算技术及应用,,计算机科学与技术学院,专业选修课,通用课程,是,中文,17,3352,11,0.226778,0.243194,0.000003,4
2124083,机器人导论,,计算机科学与技术学院,专业选修课,通用课程,是,双语,6,129,12,0.206614,0.222742,0,4
2124090,大数据可视化的前沿技术,,计算机科学与技术学院,专业选修课,通用课程,否,中文,23,1762,10,0.266121,0.29238,0.000739,4
