Source,Target,Type,Id,Label,timeset,Weight
1021003,1021153,Undirected,238,,,69
1021003,1023008,Undirected,239,,,214
1021003,1023083,Undirected,240,,,167
1021003,1023084,Undirected,241,,,133
1021003,1023154,Undirected,242,,,40
1021003,609606,Undirected,243,,,78
1021004,1021052,Undirected,244,,,121
1021004,1021082,Undirected,245,,,130
1021004,1021085,Undirected,246,,,90
1021004,1023008,Undirected,247,,,98
1021004,1023083,Undirected,248,,,90
1021004,1023084,Undirected,249,,,97
1021011,1021013,Undirected,250,,,103
1021011,1021014,Undirected,251,,,111
1021011,1023021,Undirected,252,,,76
1021011,1021012,Undirected,255,,,105
1021011,1021096,Undirected,256,,,52
1021012,1021013,Undirected,257,,,107
1021012,1021014,Undirected,258,,,120
1021012,1023021,Undirected,259,,,92
1021012,1023077,Undirected,260,,,80
1021012,1023015,Undirected,263,,,80
1021012,1021096,Undirected,264,,,62
1021013,1021014,Undirected,265,,,124
1021013,1021096,Undirected,266,,,61
1021013,1023021,Undirected,267,,,95
1021013,1023077,Undirected,268,,,82
1021013,1023101,Undirected,269,,,97
1021014,1021046,Undirected,270,,,76
1021014,1021096,Undirected,271,,,59
1021014,1021112,Undirected,272,,,40
1021014,1021115,Undirected,273,,,145
1021014,1023015,Undirected,274,,,145
1021014,1023017,Undirected,275,,,169
1021014,1023021,Undirected,276,,,147
1021014,1023077,Undirected,277,,,168
1021014,1023101,Undirected,278,,,169
1021023,1021033,Undirected,279,,,186
1021023,1021044,Undirected,280,,,189
1021023,1021046,Undirected,281,,,59
1021023,1021079,Undirected,282,,,214
1021023,1021082,Undirected,283,,,199
1021023,1021109,Undirected,284,,,54
1021023,1021113,Undirected,285,,,105
1021023,1021115,Undirected,286,,,72
1021023,1021125,Undirected,288,,,105
1021023,1021127,Undirected,289,,,100
1021023,1021128,Undirected,290,,,69
1021023,1023008,Undirected,291,,,79
1021023,1023017,Undirected,292,,,95
1021023,1023025,Undirected,293,,,47
1021023,1023029,Undirected,294,,,464
1021023,1023030,Undirected,295,,,235
1021023,1023037,Undirected,296,,,51
1021023,1023039,Undirected,297,,,293
1021023,1023042,Undirected,298,,,133
1021023,1023101,Undirected,299,,,87
1021023,1023103,Undirected,300,,,234
1021023,1023105,Undirected,301,,,122
1021023,1023106,Undirected,302,,,198
1021023,1023118,Undirected,303,,,65
1021023,1023119,Undirected,304,,,76
1021023,1041095,Undirected,305,,,169
1021023,1042114,Undirected,306,,,152
